,Year,Gasoline,E85,CNG,Diesel,B20,B99/B100,Electricity**
0,2000,1.54,1.9,1.02,1.46,,,
1,2001,1.27,1.6,1.19,1.19,1.35,,
2,2002,1.44,1.71,1.17,1.35,1.47,,
3,2003,1.48,1.7,1.35,1.34,1.6,,
4,2004,1.97,2.3,1.56,1.93,2.05,,
5,2005,2.77,3.21,2.12,2.54,2.67,3.3,
6,2006,2.22,2.81,1.77,2.37,2.43,3.21,
7,2007,2.76,3.2,1.77,2.81,2.82,3.28,
8,2008,3.04,3.99,2.01,3.27,3.69,4.59,
9,2009,2.64,3.21,1.86,2.5,2.63,3.14,
10,2010,2.78,3.45,1.93,2.75,2.86,3.76,
11,2011,3.46,4.51,2.09,3.42,3.57,4.12,1.3
12,2012,3.82,4.91,2.12,3.7,3.82,4.32,1.29
13,2013,3.45,4.3,2.09,3.51,3.67,4.12,1.28
14,2014,3.34,4.07,2.16,3.38,3.48,4.15,1.29
15,2015,2.35,2.84,2.09,2.3,2.39,3.33,1.3
16,2016,2.22,2.51,2.06,2.21,2.21,3.12,1.25
17,2017,2.49,2.73,2.17,2.46,2.41,3.31,1.26
18,2018,2.91,3.1,2.19,2.99,2.78,3.57,1.23
19,2019,2.68,2.97,2.2,2.74,2.58,3.65,1.21
